Subject Head_Dist.cm Time Trial Message L_Pupil_Diameter.mm L_Event R_Pupil_Diameter.mm R_Event
11 70 147458855 1 StartTracking.bmp NA NA NA NA
11 70 147462602 1 NA 5.9127 Fixation 5.9225 Fixation
11 70 147466605 1 NA 5.9147 Fixation 5.9168 Fixation
11 70 147470612 1 NA 5.9235 Fixation 5.9203 Fixation
11 70 147474619 1 NA 5.9264 Fixation 5.92 Fixation
11 70 147476869 1 Fixation NA NA NA NA
11 70 147478626 1 NA 5.9344 Fixation 5.9223 Fixation
11 70 147482633 1 NA 5.9335 Fixation 5.9215 Fixation
11 70 147486639 1 NA 5.9396 Fixation 5.9226 Fixation
11 70 147490646 1 NA 5.9455 Fixation 5.926 Fixation
11 70 147494653 1 NA 5.943 Fixation 5.9242 Fixation
11 70 147498660 1 NA 5.9301 Fixation 5.9228 Fixation
11 70 147502667 1 NA 5.9249 Fixation 5.9242 Fixation
11 70 147506674 1 NA 5.9159 Fixation 5.9258 Fixation
11 70 147510674 1 NA 5.9111 Fixation 5.9263 Fixation
11 70 147514675 1 NA 5.906 Fixation 5.9273 Fixation
11 70 147518676 1 NA 5.9149 Fixation 5.9209 Fixation
11 70 147522677 1 NA 5.9138 Fixation 5.9033 Fixation
11 70 147526678 1 NA 5.9193 Fixation 5.893 Fixation
11 70 147530678 1 NA 5.928 Fixation 5.8891 Fixation
11 70 147534679 1 NA 5.9407 Fixation 5.8821 Fixation
11 70 147538680 1 NA 5.9492 Fixation 5.8773 Fixation
11 70 147542681 1 NA 5.9599 Fixation 5.8754 Fixation
11 70 147546681 1 NA 5.9699 Fixation 5.8657 Fixation
11 70 147550682 1 NA 5.9725 Fixation 5.8628 Fixation
11 70 147554683 1 NA 5.9703 Fixation 5.858 Fixation
11 70 147558684 1 NA 5.9658 Fixation 5.8564 Fixation
11 70 147562684 1 NA 5.9664 Fixation 5.8554 Fixation
11 70 147566685 1 NA 5.9702 Fixation 5.8629 Fixation
11 70 147570686 1 NA 5.9679 Fixation 5.862 Fixation
11 70 147574687 1 NA 5.9677 Fixation 5.8643 Fixation
11 70 147578687 1 NA 5.9717 Fixation 5.864 Fixation
11 70 147582688 1 NA 5.9769 Fixation 5.8693 Fixation
11 70 147586689 1 NA 5.9764 Fixation 5.8629 Fixation
11 70 147590690 1 NA 5.9744 Fixation 5.8621 Fixation
11 70 147594691 1 NA 5.9763 Fixation 5.8512 Fixation
11 70 147598691 1 NA 5.9696 Fixation 5.8449 Fixation
11 70 147602692 1 NA 5.9695 Fixation 5.8417 Fixation
11 70 147606693 1 NA 5.9834 Fixation 5.8398 Fixation
11 70 147610694 1 NA 5.9892 Fixation 5.8421 Fixation
11 70 147614694 1 NA 5.9892 Fixation 5.8341 Fixation
11 70 147618695 1 NA 5.9966 Fixation 5.837 Fixation
11 70 147622696 1 NA 6.0038 Fixation 5.8284 Fixation
11 70 147626697 1 NA 6.0019 Fixation 5.8232 Fixation
11 70 147630697 1 NA 6.0081 Fixation 5.8236 Fixation
11 70 147634698 1 NA 6.0069 Fixation 5.8162 Fixation
11 70 147638699 1 NA 6.016 Fixation 5.8076 Fixation
11 70 147642700 1 NA 6.0182 Fixation 5.8052 Fixation
11 70 147646700 1 NA 6.0184 Fixation 5.7972 Fixation
11 70 147650701 1 NA 6.0187 Fixation 5.7947 Fixation
11 70 147654702 1 NA 6.0145 Fixation 5.7871 Fixation
11 70 147658703 1 NA 6.0208 Fixation 5.7825 Fixation
11 70 147662704 1 NA 6.0287 Fixation 5.7713 Fixation
11 70 147666704 1 NA 6.0354 Fixation 5.7687 Fixation
11 70 147670705 1 NA 6.0451 Fixation 5.7569 Fixation
11 70 147674704 1 NA 6.0513 Fixation 5.7491 Fixation
11 70 147678703 1 NA 6.0569 Fixation 5.7464 Fixation
11 70 147682702 1 NA 6.0624 Fixation 5.7387 Fixation
11 70 147686701 1 NA 6.071 Fixation 5.729 Fixation
11 70 147690700 1 NA 6.0783 Fixation 5.7229 Fixation
11 70 147694698 1 NA 6.0856 Fixation 5.7154 Fixation
11 70 147698697 1 NA 6.0889 Fixation 5.7055 Fixation
11 70 147702696 1 NA 6.094 Fixation 5.7091 Fixation
11 70 147706695 1 NA 6.101 Fixation 5.7084 Fixation
11 70 147710694 1 NA 6.1048 Fixation 5.7065 Fixation
11 70 147714692 1 NA 6.1028 Fixation 5.7147 Fixation
11 70 147718690 1 NA 6.1082 Fixation 5.7201 Fixation
11 70 147722689 1 NA 6.1056 Fixation 5.7204 Fixation
11 70 147726687 1 NA 6.1055 Fixation 5.713 Fixation
11 70 147730686 1 NA 6.096 Fixation 5.709 Fixation
11 70 147734684 1 NA 6.0937 Fixation 5.7036 Fixation
11 70 147738682 1 NA 6.093 Fixation 5.6901 Fixation
11 70 147742681 1 NA 6.0937 Fixation 5.6798 Fixation
11 70 147746679 1 NA 6.0919 Fixation 5.6769 Fixation
11 70 147750678 1 NA 6.0923 Fixation 5.6809 Fixation
11 70 147754676 1 NA 6.0953 Fixation 5.6742 Saccade
11 70 147758674 1 NA 6.0934 Saccade 5.6732 Fixation
11 70 147762673 1 NA 6.0883 Fixation 5.6708 Fixation
11 70 147766671 1 NA 6.0869 Fixation 5.685 Fixation
11 70 147770670 1 NA 6.0804 Fixation 5.6902 Fixation
11 70 147774668 1 NA 6.0752 Fixation 5.7002 Fixation
11 70 147778666 1 NA 6.0662 Fixation 5.7023 Fixation
11 70 147782665 1 NA 6.0588 Fixation 5.7064 Fixation
11 70 147786663 1 NA 6.0504 Fixation 5.7141 Fixation
11 70 147790661 1 NA 6.0444 Fixation 5.718 Fixation
11 70 147794660 1 NA 6.0448 Fixation 5.7297 Fixation
11 70 147798658 1 NA 6.0473 Fixation 5.7266 Fixation
11 70 147802657 1 NA 6.0427 Fixation 5.7296 Fixation
11 70 147806655 1 NA 6.0413 Fixation 5.7327 Fixation
11 70 147810653 1 NA 6.032 Fixation 5.7382 Fixation
11 70 147814652 1 NA 6.0231 Fixation 5.7403 Fixation
11 70 147818650 1 NA 6.0144 Fixation 5.7383 Fixation
11 70 147822649 1 NA 6.0076 Fixation 5.7405 Fixation
11 70 147826647 1 NA 6.006 Fixation 5.7484 Fixation
11 70 147830645 1 NA 6.0077 Fixation 5.7558 Fixation
11 70 147834644 1 NA 6.0149 Fixation 5.7565 Fixation
11 70 147838642 1 NA 6.0217 Fixation 5.7548 Fixation
11 70 147842641 1 NA 6.0192 Fixation 5.7501 Fixation
11 70 147846639 1 NA 6.0148 Fixation 5.7413 Fixation
11 70 147850637 1 NA 6.0097 Fixation 5.7367 Fixation
11 70 147854636 1 NA 6.0085 Fixation 5.7402 Fixation
11 70 147858634 1 NA 6.0131 Fixation 5.7389 Fixation
11 70 147862633 1 NA 6.0131 Fixation 5.7328 Fixation
11 70 147866631 1 NA 6.0128 Fixation 5.7278 Fixation
11 70 147870629 1 NA 6.0121 Fixation 5.7211 Fixation
11 70 147874628 1 NA 6.0118 Fixation 5.7227 Fixation
11 70 147878625 1 NA 6.0091 Fixation 5.7217 Fixation
11 70 147882621 1 NA 6.0138 Fixation 5.7194 Fixation
11 70 147886618 1 NA 6.0197 Fixation 5.7131 Fixation
11 70 147890615 1 NA 6.0244 Fixation 5.7136 Fixation
11 70 147894612 1 NA 6.0215 Fixation 5.7064 Fixation
11 70 147898608 1 NA 6.0264 Fixation 5.7028 Fixation
11 70 147902605 1 NA 6.0319 Fixation 5.6941 Fixation
11 70 147906602 1 NA 6.0334 Fixation 5.6867 Fixation
11 70 147910598 1 NA 6.0315 Fixation 5.6896 Fixation
11 70 147914594 1 NA 6.0342 Fixation 5.6858 Fixation
11 70 147918590 1 NA 6.0378 Fixation 5.6881 Fixation
11 70 147922586 1 NA 6.0416 Fixation 5.6903 Fixation
11 70 147926583 1 NA 6.0434 Fixation 5.6887 Fixation
11 70 147930579 1 NA 6.0462 Fixation 5.6976 Fixation
11 70 147934575 1 NA 6.0493 Fixation 5.7049 Fixation
